32,122,67,8383,84,77,0,28,0,0,0,0
26,147,51,7972,73,66,0,23,0,0,0,0
0,0,366,11944,49,0,0,127,0,101,0,0
0,161,170,162,0,149,0,63,0,0,37,0
30,30,204,207,22,146,0,71,0,20,0,0
32,14,208,248,22,27364,0,91,0,84,0,0
0,168,303,7923,97,68,0,0,0,0,0,0
34,225,60,8709,101,44,0,0,0,0,0,0
27,210,198,220,229,113,0,0,0,0,0,0
84,44,8241,2997,0,7728,0,28,0,0,0,0
79,71,5715,2534,33,6742,0,82,0,15,0,0
0,37,267,10342,0,0,0,122,0,116,0,0
0,0,259,343,0,159,0,0,0,175,0,0
140,0,0,56088,0,1423,0,0,0,89,99,0
253,0,0,39979,0,394,0,0,0,185,76,0
163,0,0,55043,25,2213,0,0,10,0,144,0
302,284,0,0,171,0,0,0,0,0,0,0
732,692,0,0,314,0,121,0,0,0,0,0
1575,941,0,0,422,0,105,0,0,0,0,0
1281,843,0,0,605,0,0,0,0,0,0,0
0,183,251,12159,166,631,0,137,0,0,0,0
0,148,226,12597,174,602,0,108,0,0,0,0
27,217,301,12155,196,606,0,132,0,0,0,0
31,47,69,569,24,67,0,23,0,0,0,43
0,0,244,374,21,159,0,0,0,4,0,0
35,115,225,588,169,80,0,0,0,0,0,0
29,146,95,696,184,79,0,0,0,0,0,0
32,149,529,555,286,71,0,0,0,0,0,0
35,306,229,193,195,150,0,0,0,0,0,0
0,112,226,174,63,149,0,0,0,0,0,0
32,137,69,602,355,254,0,0,0,0,0,0
40,42,209,250,60,347,0,0,0,0,0,0
193,214,9768,5744,22,11902,0,52,0,8,0,0
0,474,14086,408,426,158,0,0,0,0,0,0
133,0,0,36719,0,98,0,0,0,55,0,0
210,0,0,53131,0,204,0,0,0,84,28,0
583,0,0,56790,0,114,0,0,0,76,60,0
314,0,0,57655,0,303,0,0,0,0,118,0
0,109,215,878,17,147,0,0,0,154,0,0
0,109,370,12323,61,9,0,138,0,108,0,0
