0.16756,0.0577,0.0065,0,0,0,0,0,0,0
0.13546,0.04366,0.0051,0,0,0,0,0,0,0
0,0.00565,0,0,0,0,0,0.04756,0,0
0,0,0,0,0,0,0,0.04603,0,0
0.01531,0.12914,0.00787,0.06894,0.00214,0,0,0,0,0
0.01933,0.13556,0.00672,0.07782,0.00328,0.00124,0,0,0,0
0.69379,0.03334,0.02663,0.00335,0.00667,0,0.00127,0,0,0
0.74168,0.02836,0.01851,0.0046,0.00651,0.00141,0.00132,0,0,0
0.20568,0.00659,0.00598,0,0.00186,0,0,0,0.05339,0
0.22487,0.00424,0.00591,0,0.00187,0,0,0,0.05717,0
0.07471,0,0,0,0,0,0,0,0,0
0.11426,0,0,0,0,0,0,0,0,0
0.04986,0,0.01218,0,0,0,0,0.06552,0.00494,0
0.08538,0.00198,0.01763,0,0,0,0,0.11274,0.00746,0
0.01594,0.09464,0.00388,0,0,0,0,0.26981,0.02814,0.01099
0.01894,0.17118,0.00444,0,0.00131,0,0,0.2086,0.02676,0.00675
0.00205,0.04678,0,0,0,0,0,0,0,0
0.00223,0.07384,0.00344,0,0,0,0,0,0,0
0.10249,0.00634,0.06697,0.08984,0.00519,0.00241,0,0,0,0
0.10522,0.00492,0.0629,0.09528,0.00235,0,0,0,0,0
0.00612,0.16622,0.01088,0,0,0,0,0,0.20461,0
0.00545,0.14908,0.00719,0.00121,0.00165,0.00118,0,0,0.20302,0
0.03267,0.0141,0,0,0,0,0,0,0,0
0.03193,0.01352,0,0,0,0,0,0,0,0
0.07346,0,0,0,0,0,0,0,0,0
0.08966,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.01311,0
0.00881,0,0,0,0,0,0,0,0,0
0.00308,0,0,0,0,0,0,0,0,0
